tick,matlabTime,carlaEventTime,otherActorId,otherActorType,impulseMagnitude,egoXAtImpact,egoYAtImpact,egoYawDegAtImpact
174,19.7992,38.975,118,vehicle.nissan.micra,356.395,-45.968,133.864,1.97
174,19.7998,38.988,118,vehicle.nissan.micra,734.286,-45.943,133.870,2.53
174,19.8000,39.000,118,vehicle.nissan.micra,144.365,-45.925,133.865,3.20
174,19.8001,39.013,118,vehicle.nissan.micra,200.297,-45.911,133.860,3.78
174,19.8004,39.025,118,vehicle.nissan.micra,146.044,-45.899,133.856,4.25
174,19.8013,39.037,118,vehicle.nissan.micra,153.358,-45.888,133.852,4.62
174,19.8013,39.050,118,vehicle.nissan.micra,147.439,-45.879,133.849,4.92
174,19.8016,39.062,118,vehicle.nissan.micra,117.855,-45.870,133.846,5.18
175,19.8963,39.062,118,vehicle.nissan.micra,117.855,-45.870,133.846,5.18
175,19.8964,39.075,118,vehicle.nissan.micra,93.112,-45.863,133.845,5.37
175,19.8965,39.087,118,vehicle.nissan.micra,86.270,-45.857,133.843,5.51
175,19.8965,39.100,118,vehicle.nissan.micra,52.069,-45.851,133.842,5.63
175,19.8966,39.112,118,vehicle.nissan.micra,91.214,-45.847,133.841,5.73
175,19.8966,39.124,118,vehicle.nissan.micra,62.189,-45.844,133.840,5.81
175,19.8966,39.136,118,vehicle.nissan.micra,73.625,-45.842,133.839,5.88
175,19.8967,39.148,118,vehicle.nissan.micra,41.526,-45.839,133.839,5.95
175,19.8967,39.160,118,vehicle.nissan.micra,63.524,-45.838,133.838,6.00
176,20.0109,39.173,118,vehicle.nissan.micra,52.464,-45.836,133.837,6.05
176,20.0110,39.186,118,vehicle.nissan.micra,70.534,-45.835,133.836,6.10
176,20.0111,39.199,118,vehicle.nissan.micra,41.698,-45.833,133.836,6.14
176,20.0111,39.211,118,vehicle.nissan.micra,68.510,-45.832,133.835,6.17
176,20.0111,39.225,118,vehicle.nissan.micra,37.250,-45.831,133.834,6.21
176,20.0112,39.237,118,vehicle.nissan.micra,67.687,-45.829,133.833,6.25
176,20.0112,39.249,118,vehicle.nissan.micra,51.910,-45.828,133.832,6.30
176,20.0113,39.261,118,vehicle.nissan.micra,39.834,-45.826,133.832,6.33
176,20.0113,39.274,118,vehicle.nissan.micra,60.697,-45.825,133.831,6.37
177,20.1050,39.287,118,vehicle.nissan.micra,61.339,-45.823,133.830,6.42
177,20.1051,39.301,118,vehicle.nissan.micra,11.375,-45.821,133.829,6.47
177,20.1052,39.313,118,vehicle.nissan.micra,55.839,-45.818,133.829,6.51
177,20.1052,39.325,118,vehicle.nissan.micra,50.100,-45.816,133.828,6.55
177,20.1052,39.337,118,vehicle.nissan.micra,39.448,-45.813,133.827,6.59
177,20.1053,39.349,118,vehicle.nissan.micra,34.925,-45.810,133.826,6.63
177,20.1053,39.361,118,vehicle.nissan.micra,10.882,-45.806,133.826,6.66
