tick,matlabTime,carlaTime,dt,egoX,egoY,egoZ,egoYaw,egoSpeed,vxDerived,vyDerived,throttle,brake,steerDeg,targetSpeed,decisionState,selectedCandidate,k2Active,feasibleCount,cteApprox,headErrDeg,cumCollisionCount,newEventsThisTick,goalDist
1,1.6043,27.730,0.1000,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
2,2.1005,29.091,1.4914,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
3,2.1903,29.530,0.4415,-63.848,-135.419,0.000,0.0227,1.305,1.304,0.030,0.948,0.000,-0.00,3.20,follow,8,0,15,0.000,0.00,0,0,68.324
4,2.2768,29.654,0.1148,-63.582,-135.413,0.000,0.0227,2.757,2.756,0.063,0.222,0.000,6.89,3.20,follow,15,1,0,0.000,0.00,0,0,68.099
5,2.4690,29.778,0.1109,-63.181,-135.390,0.000,0.0332,3.582,3.580,0.119,0.000,0.130,13.54,2.80,avoid,15,1,0,0.013,0.60,0,0,67.754
6,2.5152,29.898,0.1386,-62.737,-135.329,0.000,0.0649,3.827,3.819,0.248,0.000,0.171,21.86,2.80,avoid,15,1,0,0.064,2.42,0,0,67.352
7,2.6241,30.008,0.1121,-62.340,-135.234,0.000,0.1145,3.636,3.612,0.415,0.000,0.139,28.59,2.80,avoid,15,0,1,0.150,5.26,0,0,66.970
8,2.7235,30.116,0.1090,-62.005,-135.086,0.000,0.1921,3.301,3.240,0.630,0.000,0.083,32.10,2.80,avoid,15,0,1,0.291,9.71,0,0,66.610
9,2.8321,30.227,0.1098,-61.738,-134.888,0.000,0.2930,3.007,2.879,0.869,0.000,0.035,25.51,2.80,avoid,14,1,0,0.483,15.49,0,0,66.278
10,2.9546,30.333,0.1096,-61.524,-134.681,0.000,0.3856,2.941,2.725,1.106,0.000,0.023,18.93,2.80,avoid,15,1,0,0.685,20.79,0,0,65.985
11,3.0520,30.446,0.1105,-61.294,-134.463,0.000,0.4628,2.854,2.554,1.274,0.000,0.009,12.30,2.80,avoid,6,0,6,0.898,25.21,0,0,65.672
12,3.1594,30.552,0.1101,-61.071,-134.272,0.000,0.5092,2.759,2.409,1.345,0.021,0.000,5.70,2.80,avoid,6,0,6,1.084,27.88,0,0,65.380
13,3.2763,30.674,0.1118,-60.812,-134.072,0.000,0.5399,2.638,2.263,1.356,0.081,0.000,-1.01,2.80,avoid,6,0,6,1.278,29.63,0,0,65.053
14,3.3815,30.783,0.1090,-60.577,-133.919,0.000,0.5454,2.538,2.170,1.317,0.131,0.000,-7.55,2.80,avoid,6,0,6,1.426,29.95,0,0,64.772
15,3.4967,30.893,0.1104,-60.336,-133.789,0.000,0.5344,2.466,2.122,1.256,0.167,0.000,-14.18,2.80,avoid,8,0,15,1.550,29.32,0,0,64.500
16,3.5966,30.991,0.1067,-60.116,-133.698,0.000,0.5100,2.416,2.109,1.179,0.192,0.000,-20.58,2.80,avoid,8,0,15,1.636,27.92,0,0,64.267
17,3.7072,31.102,0.1111,-59.863,-133.629,0.000,0.4647,2.374,2.122,1.064,0.213,0.000,-27.24,2.80,avoid,8,0,8,1.699,25.33,0,0,64.020
18,3.8165,31.221,0.1095,-59.591,-133.596,0.000,0.3999,2.342,2.157,0.912,0.229,0.000,-33.81,2.80,avoid,8,0,14,1.725,21.61,0,0,63.777
19,3.9270,31.335,0.1115,-59.342,-133.614,0.000,0.3201,2.288,2.172,0.720,0.256,0.000,-35.00,2.80,avoid,8,0,15,1.703,17.04,0,0,63.582
20,4.0375,31.437,0.1109,-59.130,-133.669,0.000,0.2361,2.308,2.244,0.540,0.246,0.000,-35.00,2.80,avoid,3,0,3,1.643,12.23,0,0,63.439
21,4.1483,31.551,0.1092,-58.899,-133.758,0.000,0.1387,2.378,2.355,0.329,0.211,0.000,-35.00,2.80,avoid,4,1,0,1.548,6.65,0,0,63.300
22,4.2898,31.673,0.1100,-58.656,-133.881,0.000,0.0313,2.440,2.438,0.076,0.180,0.000,-35.00,2.80,avoid,5,1,0,1.419,0.50,0,0,63.173
23,4.3869,31.782,0.1113,-58.447,-134.016,0.000,-0.0664,2.474,2.469,-0.164,0.163,0.000,-35.00,2.80,avoid,5,1,0,1.280,-5.11,0,0,63.080
24,4.5022,31.897,0.1109,-58.239,-134.183,0.000,-0.1715,2.496,2.459,-0.426,0.152,0.000,-28.35,2.80,avoid,9,1,0,1.108,-11.13,0,0,63.007
25,4.6016,32.000,0.1094,-58.056,-134.343,0.000,-0.2576,2.564,2.479,-0.653,0.118,0.000,-29.58,2.80,avoid,5,1,0,0.944,-16.06,0,0,62.952
26,4.7197,32.119,0.1109,-57.841,-134.536,0.000,-0.3479,2.525,2.374,-0.861,0.137,0.000,-22.93,2.80,avoid,14,0,2,0.746,-21.23,0,0,62.892
27,4.8297,32.224,0.1108,-57.657,-134.715,0.000,-0.4190,2.538,2.319,-1.033,0.131,0.000,-16.28,2.80,avoid,15,0,1,0.563,-25.31,0,0,62.849
28,4.9377,32.337,0.1099,-57.445,-134.904,0.000,-0.4757,2.560,2.276,-1.172,0.120,0.000,-9.68,2.80,avoid,6,1,0,0.369,-28.56,0,0,62.791
29,5.0414,32.442,0.1106,-57.236,-135.073,0.000,-0.5112,2.579,2.249,-1.262,0.111,0.000,-3.05,2.80,avoid,9,0,7,0.196,-30.59,0,0,62.724
30,5.1581,32.553,0.1117,-57.004,-135.236,0.000,-0.5295,2.543,2.195,-1.284,0.129,0.000,3.65,2.80,avoid,14,0,2,0.027,-31.64,0,0,62.637
31,5.2741,32.666,0.1092,-56.761,-135.380,0.000,-0.5283,2.494,2.154,-1.257,0.153,0.000,10.21,2.80,avoid,15,0,1,0.122,-31.57,0,0,62.530
32,5.3764,32.775,0.1120,-56.519,-135.497,0.000,-0.5122,2.442,2.128,-1.197,0.179,0.000,16.93,2.80,avoid,5,1,0,0.244,-30.65,0,0,62.409
33,5.4900,32.887,0.1089,-56.265,-135.584,0.000,-0.4773,2.397,2.129,-1.101,0.202,0.000,23.46,2.80,avoid,12,0,4,0.337,-28.65,0,0,62.261
34,5.5941,32.993,0.1092,-56.022,-135.633,0.000,-0.4283,2.368,2.154,-0.984,0.216,0.000,21.55,2.80,avoid,5,0,6,0.392,-25.84,0,0,62.099
35,5.7163,33.113,0.1113,-55.743,-135.658,0.000,-0.3646,2.406,2.248,-0.858,0.297,0.000,28.23,3.00,replan,8,0,15,0.423,-22.19,0,0,61.895
36,5.8189,33.220,0.1099,-55.491,-135.659,0.000,-0.3021,2.406,2.297,-0.716,0.297,0.000,34.82,3.00,replan,8,0,15,0.430,-18.61,0,0,61.697
37,5.9293,33.326,0.1105,-55.254,-135.620,0.000,-0.2246,2.371,2.311,-0.528,0.315,0.000,31.16,3.00,replan,8,0,15,0.396,-14.17,0,0,61.487
38,6.0346,33.435,0.1100,-55.016,-135.543,0.000,-0.1359,2.504,2.481,-0.339,0.248,0.000,35.00,3.00,replan,15,1,0,0.324,-9.09,0,0,61.252
39,6.1660,33.555,0.1099,-54.755,-135.428,0.000,-0.0329,2.553,2.552,-0.084,0.223,0.000,35.00,3.00,replan,15,1,0,0.216,-3.19,0,0,60.977
40,6.2548,33.654,0.1071,-54.553,-135.303,0.000,0.0597,2.606,2.601,0.156,0.197,0.000,35.00,3.00,replan,15,1,0,0.095,2.12,0,0,60.740
41,6.3739,33.770,0.1103,-54.329,-135.128,0.000,0.1707,2.651,2.612,0.450,0.075,0.000,28.38,2.80,avoid,1,1,0,0.075,8.48,0,0,60.456
42,6.4742,33.872,0.1078,-54.135,-134.958,0.000,0.2618,2.733,2.640,0.708,0.033,0.000,21.91,2.80,avoid,1,1,0,0.240,13.70,0,0,60.199
43,6.5904,33.988,0.1101,-53.896,-134.766,0.000,0.3430,2.740,2.580,0.922,0.030,0.000,15.31,2.80,avoid,1,1,0,0.426,18.35,0,0,59.893
44,6.6937,34.091,0.1090,-53.676,-134.602,0.000,0.3969,2.695,2.485,1.042,0.053,0.000,8.77,2.80,avoid,4,0,4,0.586,21.44,0,0,59.618
45,6.8061,34.204,0.1095,-53.425,-134.437,0.000,0.4321,2.625,2.384,1.099,0.087,0.000,2.20,2.80,avoid,4,0,4,0.745,23.46,0,0,59.319
46,6.9282,34.319,0.1105,-53.167,-134.292,0.000,0.4470,2.552,2.302,1.103,0.000,0.425,-4.43,0.00,emergency_stop,5,1,0,0.885,24.31,0,0,59.027
47,7.0259,34.422,0.1093,-52.935,-134.180,0.000,0.4464,2.411,2.174,1.041,0.000,0.402,-10.99,0.00,emergency_stop,8,0,12,0.991,24.28,0,0,58.776
48,7.1397,34.536,0.1106,-52.694,-134.091,0.000,0.4285,2.130,1.937,0.885,0.000,0.355,-17.63,0.00,emergency_stop,1,1,0,1.074,23.25,0,0,58.532
