tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
1,0,1,0,7.39632861247437e-13,cruise,8,68.3676134437532,1.79939881103798e-12,0,0
2,1.06082861236234e-07,1,0,7.39632861247437e-13,cruise,8,68.3676134437532,1.79939881103798e-12,0,0
3,4.65905901562248e-08,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
4,4.56923084419976e-08,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
5,1.05930158610578e-08,1,0,7.39632861247437e-13,avoid,8,68.3676134437532,1.79939881103798e-12,0,0
6,2.38336590104241,0.208317049478797,0,-0.000600173811533249,avoid,8,68.1878573322991,-0.000305294990380736,0,0
7,3.25452068302704,0,0.542420113837841,-0.00039752801958435,emergency_stop,8,67.9433499614411,-0.000305175781737761,0,0
8,3.53969790474943,0,0.589949650791572,6.65523447198041,emergency_stop,9,67.5776388827411,-0.000213742255824183,0,0
9,3.31190476524363,0,0.551984127540604,13.0912364719804,emergency_stop,10,67.2964136031847,-0.229004025461774,0,0
10,2.95240302763274,0,0.492067171272124,6.51061047198042,emergency_stop,6,66.9970583819987,-1.78717136383121,0,0
11,2.64645176595355,0,0.441075294325591,9.5572259068439,emergency_stop,10,66.6975082224461,-3.52682733536009,0,0
12,2.37080698891992,0,0.395134498153319,3.0403139068439,emergency_stop,1,66.4612750493271,-4.72708559036056,0,0
13,2.11651775981306,0,0.352752959968844,-3.4713420931561,emergency_stop,1,66.2316270844323,-5.78192853928647,0,0
14,1.86165032185087,0,0.310275053641812,-10.0441380931561,emergency_stop,1,66.0354441948567,-5.83402252197739,0,0
15,1.65490328527221,0,0.275817214212035,-16.5181080931561,emergency_stop,1,65.8872408781753,-5.29578208923019,0,0
16,1.41064098228711,0,0.235106830381184,-23.2074540931561,emergency_stop,1,65.755421108317,-4.01092767716409,0,0
17,0.000130912247536716,0,2.1818707922786e-05,-29.8024140931561,emergency_stop,1,65.7189408715185,-3.39505195618803,0,0
18,0.000250415723576332,0,4.17359539293887e-05,-23.2000260931561,emergency_stop,8,65.7187877101364,-3.3949308395475,0,0
19,0.000152044030805326,0,2.53406718008876e-05,-16.6496760931561,emergency_stop,8,65.7186582940534,-3.39486885071694,0,0
20,7.47726965212738e-05,0,1.2462116086879e-05,-12.3091418818433,emergency_stop,8,65.7185795203013,-3.39483833313881,0,0
21,3.60009502765579e-05,0.299981999524862,0,-18.7924118818433,brake,5,65.7185538840788,-3.39483833312901,0,0
22,0.0355456435131779,0.282227178243411,0,-25.2180338818433,brake,6,65.7186063911887,-3.39535760879398,0,0
23,0.0651243979428134,0.267437801028593,0,-23.4024772379987,brake,7,65.7180517763377,-3.37674140931106,0,0
24,0.2133866328546,0.1933066835727,0,-23.2004889906293,brake,7,65.7101246530935,-3.20163154602981,0,0
25,0.348079122888247,0.125960438555876,0,-21.5482029845853,brake,7,65.6918154046829,-2.79150533677078,0,0
26,0.404966513251734,0.0975167433741329,0,-20.9088862439862,brake,7,65.6677747560214,-2.28192210198379,0,0
27,0.48047078305427,0.0597646084728652,0,-18.9526515052194,brake,7,65.6349106721261,-1.61013841629958,0,0
28,0.501819450510693,0.0490902747446537,0,-12.4477515052194,brake,8,65.6066652589963,-1.10119676590865,0,0
29,0.51531125493448,0.0423443725327602,0,-5.8487235052194,brake,8,65.5675008650517,-0.577911615380696,0,0
30,0.508754642891471,0.0456226785542644,0,-5.18502108538402,brake,8,65.5291673497994,-0.331939816467812,0,0
31,0.49244709102949,0.053776454485255,0,-4.62004749588463,brake,8,65.4901176528487,-0.17648303509667,0,0
32,0.481295948451842,0.0593520257740792,0,-11.2266774958846,brake,6,65.4477799911154,-0.025207519540612,0,0
33,0.46695782337641,0.0665210883117948,0,-17.7579594958846,brake,5,65.4115353405982,0.191528439529077,0,0
34,0.45253549435889,0.0737322528205551,0,-24.3644934958846,brake,5,65.3795072764836,0.589813172824518,0,0
35,0.428085763118627,1,0,-17.8794114958846,avoid,8,65.351993975657,1.16629028320492,0,0
36,0.504564935274915,1,0,-11.3378094958846,avoid,8,65.3250544997275,1.72954219579877,0,0
37,0.882129794113703,0.958935102943149,0,-4.67587149588463,avoid,8,65.2792924456566,2.2887904047984,0,0
